pID,participantID,conditionID,block,trial,targetIcon,menuSelected,itemSelected,menuTarget,itemTarget,time,errors,event
17,Declan,4x4 Chording,1,1,Owl,NA,NA,2,2,11621.799999982119,0, :up
17,Declan,4x4 Chording,1,1,Owl,0,NA,2,2,12606.799999982119,0,a:down
17,Declan,4x4 Chording,1,1,Owl,2,NA,2,2,13970.5,0,d:down
17,Declan,4x4 Chording,1,1,Owl,2,NA,2,2,14014.90000000596,0,a:up
17,Declan,4x4 Chording,1,1,Owl,2,2,2,2,15271.799999982119,0,l:down
17,Declan,4x4 Chording,1,1,Owl,2,NA,2,2,15622.699999988079,0,l:up
17,Declan,4x4 Chording,1,1,Owl,NA,NA,2,2,15654,0,d:up
17,Declan,4x4 Chording,1,2,Poodle,0,NA,1,1,16703.90000000596,0,a:down
17,Declan,4x4 Chording,1,2,Poodle,1,NA,1,1,17238.09999999404,0,s:down
17,Declan,4x4 Chording,1,2,Poodle,1,NA,1,1,17275.09999999404,0,a:up
17,Declan,4x4 Chording,1,2,Poodle,1,1,1,1,18606.69999998808,0,k:down
17,Declan,4x4 Chording,1,2,Poodle,1,NA,1,1,18703.5,0,k:up
17,Declan,4x4 Chording,1,2,Poodle,NA,NA,1,1,18931.19999998808,0,s:up
17,Declan,4x4 Chording,1,3,Shiba,0,NA,1,2,20041.29999998212,0,a:down
17,Declan,4x4 Chording,1,3,Shiba,1,NA,1,2,20180.19999998808,0,s:down
17,Declan,4x4 Chording,1,3,Shiba,1,NA,1,2,20186.19999998808,0,a:up
17,Declan,4x4 Chording,1,3,Shiba,1,2,1,2,21435.90000000596,0,l:down
17,Declan,4x4 Chording,1,3,Shiba,1,NA,1,2,21738.19999998808,0,l:up
17,Declan,4x4 Chording,1,3,Shiba,NA,NA,1,2,21772.5,0,s:up
17,Declan,4x4 Chording,1,4,Duck,1,NA,2,1,22380.5,0,s:down
17,Declan,4x4 Chording,1,4,Duck,2,NA,2,1,22954.79999998212,0,d:down
17,Declan,4x4 Chording,1,4,Duck,2,NA,2,1,23029.69999998808,0,s:up
17,Declan,4x4 Chording,1,4,Duck,2,1,2,1,24220.29999998212,0,k:down
17,Declan,4x4 Chording,1,4,Duck,2,NA,2,1,24602.19999998808,0,k:up
17,Declan,4x4 Chording,1,4,Duck,NA,NA,2,1,24608.09999999404,0,d:up
17,Declan,4x4 Chording,1,5,Shark,3,NA,3,2,25487.59999999404,0,f:down
17,Declan,4x4 Chording,1,5,Shark,3,2,3,2,26612.29999998212,0,l:down
17,Declan,4x4 Chording,1,5,Shark,3,NA,3,2,26932,0,l:up
17,Declan,4x4 Chording,1,5,Shark,NA,NA,3,2,26988.40000000596,0,f:up
17,Declan,4x4 Chording,1,6,Lion,1,NA,0,0,28256.09999999404,0,s:down
17,Declan,4x4 Chording,1,6,Lion,2,NA,0,0,29721.29999998212,0,d:down
17,Declan,4x4 Chording,1,6,Lion,2,NA,0,0,29787.90000000596,0,s:up
17,Declan,4x4 Chording,1,6,Lion,0,NA,0,0,30007.69999998808,0,a:down
17,Declan,4x4 Chording,1,6,Lion,0,NA,0,0,30042.40000000596,0,d:up
